date,winrate,opponent_archetype,event_type
2025-08-01,66.7,Izzet Prowess,MTGO League
2025-08-02,50.0,Amulet Titan,MTGO League
2025-08-03,83.3,Mono-Green Tron,MTGO Challenge
2025-08-04,33.3,Yawgmoth Combo,MTGO League
2025-08-05,100.0,Hammer Time,FNM
2025-08-06,66.7,Living End,MTGO League
2025-08-07,50.0,Domain Zoo,MTGO Challenge
2025-08-08,75.0,Mill,FNM
2025-08-09,66.7,Temur Rhinos,MTGO League
2025-08-10,83.3,Burn,MTGO Challenge
2025-08-11,33.3,Crashing Footfalls,FNM
2025-08-12,100.0,Mono-Red Aggro,MTGO League
2025-08-13,66.7,Azorius Control,MTGO Challenge
2025-08-14,50.0,Merfolk,FNM
2025-08-15,83.3,Dimir Shadow,MTGO League
2025-08-16,66.7,Mono-Black Coffers,MTGO Challenge
2025-08-17,33.3,Scapeshift,FNM
2025-08-18,100.0,Affinity,MTGO League
2025-08-19,66.7,Esper Reanimator,MTGO Challenge
2025-08-20,50.0,Mono-White Taxes,FNM
2025-08-21,83.3,Creativity Combo,MTGO League
2025-08-22,66.7,Dimir Control,MTGO Challenge
2025-08-23,33.3,Mono-Green Devotion,FNM
2025-08-24,100.0,Blue Moon,MTGO League
2025-08-25,66.7,Orzhov Stoneblade,MTGO Challenge
2025-08-26,50.0,Five-Color Elementals,FNM
2025-08-27,83.3,Mono-Red Goblins,MTGO League
2025-08-28,66.7,Azorius Blink,MTGO Challenge
2025-08-29,33.3,Mono-Blue Tempo,FNM
2025-08-30,100.0,Green-White Heliod,MTGO League
